Albany, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
189501,20.6,-1.6
189502,17.0,-7.3
189503,27.9,-6.2
189504,45.1,-1.4
189505,59.6,1.5
189506,70.6,3.6
189507,68.5,-3.3
189508,70.4,0.8
189509,64.8,3.2
189510,45.3,-5.2
189511,38.8,-0.7
189512,29.9,2.7
189601,18.3,-3.9
189602,22.9,-1.4
189603,25.1,-9.0
189604,48.2,1.7
189605,61.7,3.6
189606,65.7,-1.3
189607,72.2,0.4
189608,70.8,1.2
189609,60.2,-1.4
189610,46.4,-4.1
189611,41.7,2.2
189612,24.2,-3.0
189701,22.7,0.5
189702,24.0,-0.3
189703,33.3,-0.8
189704,46.0,-0.5
189705,56.8,-1.3
189706,62.6,-4.4
189707,72.7,0.9
189708,67.5,-2.1
189709,60.7,-0.9
189710,51.0,0.5
189711,-99.0,-138.5
189712,28.1,0.9
189801,22.5,0.3
189802,26.0,1.7
189803,40.2,6.1
189804,43.5,-3.0
189805,56.2,-1.9
189806,68.0,1.0
189807,73.1,1.3
189808,71.1,1.5
189809,64.7,3.1
189810,51.2,0.7
189811,36.7,-2.8
189812,26.9,-0.3
189901,20.9,-1.3
189902,19.8,-4.5
189903,29.1,-5.0
189904,46.6,0.1
189905,57.9,-0.2
189906,69.0,2.0
189907,71.2,-0.6
189908,70.3,0.7
189909,59.4,-2.2
189910,51.4,0.9
189911,37.8,-1.7
189912,30.3,3.1
190001,24.3,2.1
190002,23.7,-0.6
190003,25.9,-8.2
190004,46.0,-0.5
190005,56.0,-2.1
190006,68.5,1.5
190007,72.5,0.7
190008,72.7,3.1
190009,65.7,4.1
190010,55.7,5.2
190011,39.9,0.4
190012,26.6,-0.6
190101,22.2,0.0
190102,17.2,-7.1
190103,30.9,-3.2
190104,47.5,1.0
190105,57.1,-1.0
190106,68.2,1.2
190107,73.9,2.1
190108,71.0,1.4
190109,63.0,1.4
190110,50.3,-0.2
190111,32.5,-7.0
190112,24.8,-2.4
190201,20.7,-1.5
190202,21.6,-2.7
190203,37.7,3.6
190204,46.5,0.0
190205,55.1,-3.0
190206,62.5,-4.5
190207,68.4,-3.4
190208,66.2,-3.4
190209,61.0,-0.6
190210,49.2,-1.3
190211,41.4,1.9
190212,21.4,-5.8
190301,22.2,0.0
190302,25.0,0.7
190303,41.3,7.2
190304,46.3,-0.2
190305,60.2,2.1
190306,61.2,-5.8
190307,69.5,-2.3
190308,62.8,-6.8
190309,62.0,0.4
190310,50.8,0.3
190311,34.5,-5.0
190312,21.3,-5.9
190401,12.8,-9.4
190402,15.0,-9.3
190403,29.2,-4.9
190404,41.6,-4.9
190405,60.6,2.5
190406,66.8,-0.2
190407,70.5,-1.3
190408,67.5,-2.1
190409,59.1,-2.5
190410,46.6,-3.9
190411,32.9,-6.6
190412,18.4,-8.8
190501,18.7,-3.5
190502,15.6,-8.7
190503,31.0,-3.1
190504,44.5,-2.0
190505,57.1,-1.0
190506,65.1,-1.9
190507,71.8,0.0
190508,66.7,-2.9
190509,60.6,-1.0
190510,50.1,-0.4
190511,35.6,-3.9
190512,29.8,2.6
190601,29.8,7.6
